host	value year
chemspider.com	12	2010
psychedelic-library.org	12	2010
nature.com	21	2010
reuters.com	12	2010
economist.com	12	2010
miller-mccune.com	12	2010
pihkal.info	12	2010
pillreports.com	12	2010
thecrimson.com	11	2010
jstor.org	7	2010
rutgers.edu	8	2010
betweenthelines.net.au	8	2010
nsw.gov.au	8	2010
mydr.com.au	8	2010
betterhealth.vic.gov.au	8	2010
bruxism.org.uk	8	2010
irrawaddy.org	8	2010
purdue.edu	8	2010
statutelaw.gov.uk	7	2010
sciencedirect.com	1	2010
prponline.net	2	2010
wikinews.org	1	2010
findarticles.com	12	2011
dot.gov	12	2011
timesonline.co.uk	12	2011
msn.com	12	2011
ecstasy.org	24	2011
google.co.uk	12	2011
maps.org	258	2011
nih.gov	908	2011
doi.org	718	2011
heffter.org	24	2011
csp.org	8	2011
europa.eu	12	2011
unodc.org	12	2011
drugtext.org	12	2011
umd.edu	12	2011
erowid.org	212	2011
dancesafe.org	36	2011
thedea.org	47	2011
mdma.net	84	2011
addictionjournal.org	11	2011
rutgers.edu	12	2011
betweenthelines.net.au	12	2011
nsw.gov.au	12	2011
mydr.com.au	12	2011
betterhealth.vic.gov.au	12	2011
bruxism.org.uk	12	2011
wired.com	12	2011
bbc.co.uk	36	2011
encod.org	12	2011
informaworld.com	9	2011
usdoj.gov	12	2011
newscientist.com	36	2011
emedicine.com	12	2011
clinchem.org	12	2011
atypon-link.com	11	2011
espacenet.com	24	2011
jst.go.jp	8	2011
jstor.org	12	2011
nytimes.com	12	2011
weeklywire.com	12	2011
google.com	48	2011
statutelaw.gov.uk	12	2011
homeoffice.gov.uk	24	2011
druglibrary.org	12	2011
parliament.uk	12	2011
cognitiveliberty.org	12	2011
ussc.gov	12	2011
who.int	12	2011
globalpost.com	12	2011
irrawaddy.org	12	2011
purdue.edu	12	2011
ecstasydata.org	24	2011
commonchemistry.org	12	2011
chemspider.com	12	2011
psychedelic-library.org	12	2011
nature.com	24	2011
reuters.com	12	2011
economist.com	12	2011
miller-mccune.com	12	2011
pihkal.info	12	2011
pillreports.com	12	2011
thecrimson.com	12	2011
drugbank.ca	4	2011
ebi.ac.uk	7	2011
brynmawr.edu	2	2011
cgu.edu	1	2011
findarticles.com	12	2012
dot.gov	12	2012
timesonline.co.uk	12	2012
msn.com	12	2012
unodc.org	23	2012
google.co.uk	8	2012
maps.org	257	2012
nih.gov	931	2012
doi.org	775	2012
heffter.org	21	2012
csp.org	12	2012
europa.eu	12	2012
drugtext.org	12	2012
umd.edu	12	2012
mdma.net	75	2012
erowid.org	196	2012
addictionjournal.org	12	2012
rutgers.edu	9	2012
betweenthelines.net.au	12	2012
nsw.gov.au	9	2012
mydr.com.au	12	2012
betterhealth.vic.gov.au	12	2012
bruxism.org.uk	12	2012
brynmawr.edu	12	2012
cgu.edu	12	2012
dancesafe.org	36	2012
wired.com	12	2012
bbc.co.uk	36	2012
encod.org	12	2012
thedea.org	28	2012
usdoj.gov	12	2012
newscientist.com	36	2012
emedicine.com	12	2012
clinchem.org	12	2012
atypon-link.com	12	2012
espacenet.com	24	2012
jst.go.jp	12	2012
jstor.org	12	2012
nytimes.com	12	2012
weeklywire.com	12	2012
google.com	53	2012
statutelaw.gov.uk	12	2012
homeoffice.gov.uk	24	2012
druglibrary.org	12	2012
parliament.uk	12	2012
cognitiveliberty.org	12	2012
ussc.gov	12	2012
who.int	12	2012
ecstasy.org	13	2012
globalpost.com	12	2012
irrawaddy.org	12	2012
purdue.edu	12	2012
ecstasydata.org	24	2012
aclu.org	7	2012
rijksoverheid.nl	7	2012
government.nl	7	2012
ncsu.edu	11	2012
commonchemistry.org	12	2012
drugbank.ca	12	2012
chemspider.com	12	2012
ebi.ac.uk	24	2012
psychedelic-library.org	12	2012
nature.com	24	2012
reuters.com	12	2012
economist.com	12	2012
miller-mccune.com	12	2012
pihkal.info	12	2012
pillreports.com	12	2012
thecrimson.com	12	2012
oprah.com	8	2012
drugabuse.gov	2	2012
isomerdesign.com	4	2012
justice.gc.ca	2	2012
findarticles.com	12	2013
dot.gov	12	2013
timesonline.co.uk	12	2013
msn.com	12	2013
unodc.org	24	2013
google.com	76	2013
maps.org	264	2013
doi.org	804	2013
nih.gov	920	2013
heffter.org	12	2013
csp.org	12	2013
umd.edu	12	2013
drugabuse.gov	14	2013
erowid.org	184	2013
addictionjournal.org	12	2013
betweenthelines.net.au	12	2013
mydr.com.au	12	2013
betterhealth.vic.gov.au	12	2013
mdma.net	48	2013
bruxism.org.uk	12	2013
brynmawr.edu	12	2013
cgu.edu	12	2013
dancesafe.org	36	2013
wired.com	12	2013
ecstasydata.org	24	2013
bbc.co.uk	36	2013
encod.org	12	2013
thedea.org	24	2013
justice.gov	4	2013
newscientist.com	36	2013
emedicine.com	12	2013
clinchem.org	12	2013
ingentaconnect.com	11	2013
espacenet.com	24	2013
jstor.org	12	2013
nytimes.com	13	2013
weeklywire.com	12	2013
scientopia.org	12	2013
statutelaw.gov.uk	12	2013
homeoffice.gov.uk	24	2013
druglibrary.org	12	2013
parliament.uk	12	2013
cognitiveliberty.org	12	2013
aclu.org	12	2013
rijksoverheid.nl	12	2013
government.nl	12	2013
isomerdesign.com	24	2013
justice.gc.ca	12	2013
who.int	12	2013
ecstasy.org	12	2013
globalpost.com	12	2013
ncsu.edu	12	2013
irrawaddy.org	12	2013
purdue.edu	12	2013
europa.eu	12	2013
drugtext.org	12	2013
eurekaselect.com	6	2013
commonchemistry.org	12	2013
drugbank.ca	12	2013
chemspider.com	12	2013
ebi.ac.uk	24	2013
psychedelic-library.org	12	2013
nature.com	24	2013
reuters.com	12	2013
economist.com	12	2013
miller-mccune.com	12	2013
pihkal.info	12	2013
pillreports.com	12	2013
thecrimson.com	12	2013
oprah.com	12	2013
usdoj.gov	8	2013
atypon-link.com	1	2013
jst.go.jp	8	2013
ussc.gov	8	2013
fsijournal.org	1	2013
dot.gov	12	2014
doi.org	863	2014
nih.gov	1052	2014
unodc.org	29	2014
google.com	90	2014
europa.eu	22	2014
thegooddrugsguide.com	3	2014
umd.edu	12	2014
drugabuse.gov	33	2014
maps.org	205	2014
erowid.org	141	2014
justice.gov	12	2014
clinchem.org	12	2014
ingentaconnect.com	12	2014
espacenet.com	24	2014
jstor.org	12	2014
nytimes.com	28	2014
weeklywire.com	12	2014
mdma.net	39	2014
scientopia.org	12	2014
bbc.co.uk	36	2014
encod.org	12	2014
statutelaw.gov.uk	12	2014
aclu.org	12	2014
rijksoverheid.nl	12	2014
government.nl	12	2014
isomerdesign.com	24	2014
justice.gc.ca	12	2014
who.int	12	2014
fsijournal.org	12	2014
drugtext.org	12	2014
nypost.com	4	2014
wsj.com	4	2014
mixmag.net	4	2014
dailyprogress.com	4	2014
drugs.com	2	2014
commonchemistry.org	12	2014
guidetopharmacology.org	2	2014
drugbank.ca	12	2014
chemspider.com	12	2014
kegg.jp	2	2014
ebi.ac.uk	26	2014
rcsb.org	2	2014
nature.com	19	2014
latimes.com	2	2014
findarticles.com	9	2014
timesonline.co.uk	7	2014
msn.com	7	2014
eurekaselect.com	7	2014
heffter.org	9	2014
csp.org	4	2014
betweenthelines.net.au	9	2014
mydr.com.au	9	2014
betterhealth.vic.gov.au	9	2014
bruxism.org.uk	9	2014
brynmawr.edu	9	2014
cgu.edu	9	2014
dancesafe.org	27	2014
wired.com	9	2014
ecstasydata.org	18	2014
thedea.org	18	2014
newscientist.com	27	2014
emedicine.com	9	2014
homeoffice.gov.uk	18	2014
druglibrary.org	9	2014
parliament.uk	9	2014
cognitiveliberty.org	9	2014
ecstasy.org	9	2014
psychedelic-library.org	9	2014
reuters.com	9	2014
economist.com	9	2014
miller-mccune.com	9	2014
pihkal.info	9	2014
pillreports.com	9	2014
thecrimson.com	9	2014
oprah.com	9	2014
globalpost.com	2	2014
ncsu.edu	2	2014
irrawaddy.org	2	2014
